空天姬预设,9.1475.202510110438
天女鲤,平钓【嗡嗡石蝇|20675】@（薄雾|4）》！！！@拍水！！【东洲巨骨舌鱼|20119】=【天女鲤|23068】；引诱；//预设分级：有效的
一束彩虹,平钓【悬浮诱饵鱼|20619】@1202-1600（薄雾|4）》！！！@拍水！！【多玛鳟|20123】=【一束彩虹|24890】；引诱；//预设分级：有效的
水天一碧,平钓【嗡嗡石蝇|20675】@1602-2400（暴雨|8）》！！！@拍水！！【王室鲑|20117】=【水天一碧|24888】；引诱；//预设分级：有效的
卜传,平钓【嗡嗡石蝇|20675】@1202-1400》！！！精准@拍水！【武士鱼|20028】=【卜传|23067】；引诱；//预设分级：合格的
菜叶跳鱼,平钓【赤虫|20615】@0802-1200（碧空|1）》！！！精准@拍水！【嘎牙子|20127、草跳鱼|20128】=【菜叶跳鱼|24892】；引诱；//预设分级：合格的
晨曦旗鱼,耐心【肥蚯蚓|20614】@0002-0800（阴云|3、薄雾|4、微风|5）》！》！！！=【晨曦旗鱼|24893】；//预设分级：有效的
刀片跳鱼,平钓【悬浮诱饵鱼|20619】@0402-0800》！！！@拍水！【枯草跳鱼|20129】=【刀片跳鱼|24218】；引诱；//预设分级：有效的
暮辉鱼,耐心【肥蚯蚓|20614】@0802-1600（阴云|3）》！》！！！=【暮辉鱼|24217】；//预设分级：有效的
神谕苦鱼,平钓【嗡嗡石蝇|20675】@2002-2400》！！！精准@拍水！【暮晖蝲蛄|20133、塔奥苦鱼|20044】=【神谕苦鱼|23069】；引诱；//预设分级：合格的
亚特可汗,平钓【嗡嗡石蝇|20675】@（微风|5）》！！！精准@拍水！【亚特虾虎|20031】=【亚特可汗|23070】；引诱；//预设分级：有效的
月神的爱宠,平钓【悬浮诱饵鱼|20619】@0402-0800（晴朗|2、碧空|1）》！！！@拍水！！【月神恩惠|20080】=【月神的爱宠|24891】；引诱；//预设分级：合格的
花海龙,耐心【金属亮片|28634】》！@拍水【鳀鱼|20092】》！！！=【花海龙|23063】；//预设分级：最优化
赌命河豚,平钓【蓝矶沙蚕|20676】》！！！@拍水！！【琉璃金枪鱼|20110】=【赌命河豚|23064】；引诱；//预设分级：合格的
公主青鳉,平钓【肥蚯蚓|20614】@0402-0600》！！！精准@拍水！【黄铜鱼|20125】=【公主青鳉|24213】；引诱；//预设分级：合格的
5.0,45//预设分级：非预设
利斯塔克鲨,平钓【虫箱|27589】@1602-2400（阴云|3、薄雾|4）》~14.6+27！！！@拍水~20+38！！【白化雀鳝|27436】《【不朽巨鱼|28925】=1【不朽巨鱼|28925】；引诱；@阶段=》大鱼【虫箱|27589】@1602-2400（薄雾|4）》~14.6+27！！！@拍水~20+38！！【白化雀鳝|27436】》！！！=【利斯塔克鲨|33239】；引诱；《=//预设分级：合格的
自走鱼偶,平钓【乌贼丝|27590】》（！！！）19.5~！@拍水！【南珂露西亚鳕鱼|27449、珂露西亚鲽鱼|27448】@专一【变形鱼|27452】=5【变形鱼|27452】；@阶段=》平钓【乌贼丝|27590】@1002-1400（强风|6）》！！！精准@拍水~20！【南珂露西亚鳕鱼|27449、珂露西亚鲽鱼|27448】@鱼识=》平钓【短嘴诱饵鱼|27588】@1002-1600》！！！@拍水！！【血色气球鱼|27447】=【自走鱼偶|33240】；引诱；《=//预设分级：有效的
惊喜蛋,平钓【沙漠蛙|27584】@2358-0200》~5.5+10！@专一【沙卵|27462】=10【沙卵|27462】；不撒饵；@鱼识=》平钓@2358-0200》~10+18！！！精准@拍水！【沙卵|27462、比朗螃蟹|27458、沙遁鱼|27459】=【惊喜蛋|33241】；重随；//预设分级：合格的
镜中蝶,平钓【虫箱|27589】@2332-0000（碧空|1）》~7.6+13！！！精准@拍水~11+20！【青蓝鳅|27479】=【镜中蝶|33242】；重随；//预设分级：合格的
隆卡的大水蛇？,耐心【盗蟹丸|27587】@1002-1200》~6.1+11.1！》！！《》！！！》！！！=【隆卡的大水蛇？|33243】；重随；//预设分级：最优化
长吻帆蜥鱼,平钓【短嘴诱饵鱼|27588】@2202-0000》！！！@拍水9.5+17.5~！！【卡利班骨头鱼|27499】@鱼识=》平钓【乌贼丝|27590】@0002-0200》！！！@拍水10+21~！！【卡利班骨头鱼|27499】=【长吻帆蜥鱼|33244】；//预设分级：合格的
三艺之星,平钓【大理石幼虫|27585】@2202-0000（碧空|1）》！！！精准@拍水！【爱人之花|27414】=【三艺之星|33316】；引诱；//预设分级：合格的
散罪鱼,平钓【水果蠕虫|27582】@2202-2400（碧空|1、晴朗|2）》！！！精准@拍水！【吐罪鱼|27415】=【散罪鱼|30432】；引诱；//预设分级：有效的
悬挂脂鲤,平钓【虫箱|27589】@1802-2200》！！！精准@拍水！【水晶都脂鲤|27410、骸骨鱼|27418】=【悬挂脂鲤|28065】；引诱；//预设分级：合格的
贵妇蝴蝶鱼,平钓【乌贼丝|27590】@1202-1900（碧空|1）》！！！@拍水！【赤色海蜘蛛|27421】=【贵妇蝴蝶鱼|28066】；//预设分级：有效的
食人鳄,平钓【虫箱|27589】@（碧空|1、晴朗|2）》！！！@拍水！！【白化鳄|27431】=【食人鳄|30433】；引诱；//预设分级：有效的
月光虹鳉,平钓【虫箱|27589】@0602-0800（晴朗|2）》！！！@拍水！【水球鱼|27426、紫角蜗牛|27427、硬糖藻|27425】=【月光虹鳉|32049】；//预设分级：有效的
重罪石软蟹,平钓【虫箱|27589】@（薄雾|4）》！！！@拍水！【硬糖藻|27425、净碟鱼|27428】=【重罪石软蟹|28067】；引诱；//预设分级：有效的
蟒斑盘丽鱼,平钓【水果蠕虫|27582】@（雷雨|10）》！！！@拍水~8+14.5！【硬糖藻|27425】=【蟒斑盘丽鱼|33317】；//预设分级：合格的
不朽巨鱼,平钓【虫箱|27589】@1602-2400（阴云|3、薄雾|4）》~14.6+27！！！@拍水~20+38！！【白化雀鳝|27436】=【不朽巨鱼|28925】；引诱；//预设分级：合格的
哲罗鲑,平钓【虫箱|27589】》！！！@拍水！！【哲罗鱼|27441】=【哲罗鲑|30434】；引诱；//预设分级：合格的
元首的军扇,平钓【大理石幼虫|27585】@（薄雾|4）》！！！@拍水！【沃茨鳟|27440】=【元首的军扇|32050】；//预设分级：有效的
白色隆索,平钓【虫箱|27589】@0002-0200》！！！@拍水！【斑纹鲶|27444】=【白色隆索|28926】；//预设分级：合格的
铜褐鳎,平钓【大理石幼虫|27585】@（小雨|7）》！！！@拍水！【食骨虾|27438】=【铜褐鳎|28068】；引诱；//预设分级：有效的
钢刀鱼,平钓【藻虾|27583】@0602-0800》~5.5+9.5！！！@拍水~8+14！【南珂露西亚鳕鱼|27449、珂露西亚鲽鱼|27448】=【钢刀鱼|33318】；重随；//预设分级：合格的
变影鱼,平钓【乌贼丝|27590】@1002-1400（强风|6）》！！！精准@拍水~20！【南珂露西亚鳕鱼|27449、珂露西亚鲽鱼|27448】=【变影鱼|33319】；//预设分级：合格的
战盾剑齿龙鳖,大鱼【短嘴诱饵鱼|27588】@2202-2400》8+16~15+29！@拍水【枯叶海龙|27455、南珂露西亚鳕鱼|27449】》！！！=【战盾剑齿龙鳖|32051】；//预设分级：有效的
冠骨鱼,耐心【力山羊肉干|27586】@0002-0600》！！》！！+！！！=【冠骨鱼|28069】；引诱、套娃；//预设分级：合格的
拿巴示锯,耐心【力山羊肉干|27586】@0602-1000（热浪|14）》！！！@拍水！！【角骨鱼|27460】【沙漠锯|27464】》！！！=【拿巴示锯|33320】；套娃、引诱；//预设分级：合格的
刺钉蜥蜴,耐心【沙漠蛙|27584】@1202-1600（碧空|1）》5.8+10~11.1+20.6！@拍水！【沙遁鱼|27459】》！！！=【刺钉蜥蜴|28927】；//预设分级：最优化
阔面鱼,平钓【大理石幼虫|27585】@0602-0759（小雨|7）》！！！@拍水！【灰跳鱼|27470】=【阔面鱼|30435】；引诱；//预设分级：有效的
狂怒斗鱼,平钓【虫箱|27589】@2002-2400（碧空|1、晴朗|2）》！！！@拍水~11+20！【青蓝鳅|27479】=【狂怒斗鱼|28070】；//预设分级：有效的
深泳的古书,平钓【大理石幼虫|27585】@1202-1600（雷雨|10）》！！！@拍水！【斑点攀鲈|27478】=【深泳的古书|32052】；//预设分级：合格的
仙子彩虹鳉,平钓【大理石幼虫|27585】@（薄雾|4）》~6.5+12！！！@拍水！【青蓝鳅|27479】=【仙子彩虹鳉|28928】；重随；//预设分级：有效的
达穆伦樱桃鲱鱼,平钓【虫箱|27589】》！！！@拍水~11+20！【青蓝鳅|27479】=【达穆伦樱桃鲱鱼|33321】；//预设分级：合格的
黄金雕金匠,平钓【虫箱|27589】@（碧空|1）》！！！精准@拍水！【灰跳鱼|27470】=【黄金雕金匠|30436】；//预设分级：合格的
顶天眼,平钓【虫箱|27589】@0702-1700（碧空|1）》！！！@拍水！【灰跳鱼|27470】=【顶天眼|33322】；//预设分级：合格的
洛克瓦卫兵,耐心【盗蟹丸|27587】@1002-1200》~6.1+11.1！》！！》！！！=【洛克瓦卫兵|28071】；//预设分级：合格的
珍珠皮皮拉鱼,耐心【虫箱|27589】@1702-2000（薄雾|4）》~9+16.5！！【钻石皮皮拉鱼|27492】》！！！+！！=【珍珠皮皮拉鱼|32053】；套娃、引诱；//预设分级：合格的
黑色喷气乱流,平钓【盗蟹丸|27587】@0202-1200（碧空|1、晴朗|2）》！！！精准@拍水~14.5！【黄色皮皮拉鱼|27486】=【黑色喷气乱流|28929】；//预设分级：合格的
书记官杀手,平钓【虫箱|27589】@1802-2400》~7.5+12！！！@拍水！【黄色皮皮拉鱼|27486】=【书记官杀手|30437】；重随；//预设分级：合格的
底暗鱼,平钓【虫箱|27589】@0202-0600（薄雾|4）》！！！精准@拍水12.5+25~！【永暗鱼|27494】=【底暗鱼|33323】；引诱；//预设分级：合格的
金色皮皮拉鱼,平钓【盗蟹丸|27587】@0602-0700》~8+13.5！！！@拍水！【黄色皮皮拉鱼|27486】=【金色皮皮拉鱼|33324】；引诱；//预设分级：合格的
鳍人叹息,平钓【乌贼丝|27590】@1202-1400（碧空|1、晴朗|2）》！！！精准@拍水！【巨型鮟鱇|27501】=【鳍人叹息|28930】；引诱；//预设分级：有效的
鳍人之敌,平钓【乌贼丝|27590】@0802-1000》！！！@拍水10+21~！！【卡利班骨头鱼|27499】=【鳍人之敌|32054】；引诱；//预设分级：有效的
奸隐鱼,平钓【短嘴诱饵鱼|27588】@2202-2400（晴朗|2）》！！！@拍水9.5+17.5~！！【卡利班骨头鱼|27499】=【奸隐鱼|33325】；//预设分级：合格的
绒毛海神虾,耐心【金属亮片|28634】@1602-2000（阴云|3）》！》！！！精准=【绒毛海神虾|33326】；引诱；//预设分级：合格的
头领薄饼章鱼,平钓【乌贼丝|27590】@0002-0300》！！！精准@拍水！【薄饼章鱼|27510】=【头领薄饼章鱼|30438】；引诱；//预设分级：合格的
猎星鱼,平钓【乌贼丝|27590】@0602-1000（阴云|3）》！！！精准@拍水！【青色海蜘蛛|27498】=【猎星鱼|28072】；引诱；//预设分级：有效的
蛋白石虾,平钓【乌贼丝|27590】@1802-2000》！！！精准@拍水！【青色海蜘蛛|27498】=【蛋白石虾|30439】；引诱；//预设分级：合格的
6.0,40//预设分级：非预设
餐叉尾,平钓【天空勺形鱼饵|36590】@1532-1630（灵风|49）》！！！精准@拍水~6+11！【岛屿跳鱼|36476】=【餐叉尾|41410】；引诱；//预设分级：合格的
优雅兔耳,平钓【奇美拉蠕虫|36595】@0802-1000（晴朗|2）》~7+13.3！！！@拍水！！+！【魇鱼|36468、紫鱼|36470】=【优雅兔耳|41411】；引诱；//预设分级：有效的
嘎儿鱼,半自动流程如下：钓场名应为「熏香海岸」，可以通过抛竿来确认，在确认后移动到同位置同钓场的几米外（更换钓点）以防警惕。\\r\\n提前在「矛齿鲸」窗口期到来前到场（如果矛齿鲸和嘎儿鱼的窗口期起始间隔在18分钟以内，可使用【嘎儿鱼短流程）），启动预设【嘎儿鱼起手】或【嘎儿鱼三提起手】。提醒完成时更换钓点，在嘎儿鱼窗口期到来前半小时左右启动【嘎儿鱼收藏最终】或【嘎儿鱼自动最终】。「收藏」和「自动」的区别：「自动」可全自动完成最终手法（有概率亏鱼识时间），「收藏」则需要你手动在嘎儿鱼窗口到来时点击收藏窗口的取消。\\r\\n如果有连续的嘎儿鱼窗口，可查看【嘎儿鱼连续窗口方案】。祝你好运！//预设分级：非预设
异形雪棘,平钓【蜉蝣|36591】@1558-0000》8+15~！！@拍水【艾布拉纳鳟|36456、冰原狗鱼|36459】@专一【青磷核|36458】双提=3【青磷核|36458】；多提；@鱼识=》平钓@1602-0000》！！！@拍水【青磷核|36458】=【异形雪棘|41409】；引诱；//预设分级：合格的
潜龙,耐心【蜉蝣|36591】》！！@拍水【鲴鱼|36398】《【以太螯虾|36412】=1【以太螯虾|36412】；套娃；@阶段=》大鱼【蜉蝣|36591】》！！@拍水【鲴鱼|36398】《【以太螯虾|36412】=1【以太螯虾|36412】；大尺寸、套娃；@阶段=》耐心@0902-1200》！！@拍水【鲴鱼|36398】》~20！！=套娃；《=《=@鱼识=》耐心【蜉蝣|36591】@0902-1200》！！@拍水【鲴鱼|36398】》（！！！）~20！！=【潜龙|41407】；套娃；//预备阶段触发鱼识然后在鱼识结束时重复启动是正常的//预设分级：有效的
星鲸,有两种半自动方案流程来钓星鲸，长流程预设建议提前两三个法拉伊那的窗口期开始，短流程预设则适合在星鲸的窗口期到来前半个多小时开始。\\r\\n以下是星鲸长流程预设说明：先在法拉伊那窗口期到来前，面对钓场湖丙β使用预设【法拉伊那|36521】，在钓到法拉伊那后，使用预设【星鲸长流程未受生魂】来钓2条未受生魂（空天姬会自动计数并提醒）。\\r\\n最后，更换垂钓位置到远离原位置几米远的地方，在星鲸窗口期到来前的第25分钟启动【星鲸长流程最终】。\\r\\n如果你甚至没有钓到法拉伊那，可以使用【星鲸短流程方案】阅读。//预设分级：非预设
电吉他鱼,平钓【青花鱼块|36593】@2002-2400》！！！@拍水！！【钴铁光鳃鱼|36388】=【电吉他鱼|36679】；引诱；//预设分级：合格的
巨剑锯盖鱼,平钓【蜉蝣|36591】@1602-2000》！！！@拍水13~！！【剑脊锯盖鱼|36394】=【巨剑锯盖鱼|37845】；//预设分级：合格的
万虑鱼,平钓【蜉蝣|36591】@0802-1400》！！！@拍水！【涌潮大丽花|36396】=【万虑鱼|38830】；//预设分级：合格的
巨身锯盖鱼,平钓【蜉蝣|36591】@1802-2200》！！！@拍水！！【宽身锯盖鱼|36402、小方砖丽鱼|36400】=【巨身锯盖鱼|36680】；引诱；//预设分级：有效的
苔绿鳃鲑,平钓【天空勺形鱼饵|36590】@（小雨|7）》！！！@拍水！！【鲴鱼|36398】=【苔绿鳃鲑|38831】；引诱；//预设分级：有效的
潜底弓鳍鱼,平钓【天空勺形鱼饵|36590】@0802-1600（阴云|3）》！！！@拍水！！【长嘴鱲|36407】=【潜底弓鳍鱼|37846】；引诱；//预设分级：合格的
黑玛瑙刀背鱼,平钓【蜉蝣|36591】@2202-0200（晴朗|2）》！！！@拍水！！【玄铁刀背鱼|36411】=【黑玛瑙刀背鱼|39879】；引诱；//预设分级：合格的
环间罗非鱼,耐心【蜉蝣|36591】@0802-1200》！！@拍水【鲴鱼|36398】》（！！！）~20！！=【环间罗非鱼|41401】；套娃；//预设分级：合格的
捂耳太阳鱼,平钓【蜉蝣|36591】@0402-0800》~13+24！！！@拍水~10.9+20！！【长耳太阳鱼|36418】=【捂耳太阳鱼|36681】；重随；//预设分级：合格的
郁金香蟹,平钓【虾肉丸子|36592】@（薄雾|4）》！！！@拍水~20！！【玫瑰蟹|36422】=【郁金香蟹|37847】；引诱；//预设分级：合格的
杜蒂娜鱼,大鱼【虾肉丸子|36592】@0002-0400（碧空|1）》~10.5+19.5！！@拍水【婚宴娟纱|36425】@专一【暗影沙丁鱼|36426】【暗影沙丁鱼|36426】》！！！=【杜蒂娜鱼|41402】；引诱、不撒饵；//预设分级：合格的
雷云隆头鱼,平钓【虾肉丸子|36592】@2002-2400》！！！@拍水~17！【萨维奈虾虎|36420】=【雷云隆头鱼|38832】；引诱；//预设分级：合格的
河马蛙,平钓【蜉蝣|36591】@（暴雨|8）》~14.5+27.5！！！@拍水！！【魔象蛙|36432、蓝鳃太阳鱼|36434】=【河马蛙|36682】；引诱；//预设分级：合格的
塔门监兵,平钓【医蛭|36589】@（阴云|3）》！！！@拍水！！【饮乳鱼|36438】=【塔门监兵|39880】；引诱；//预设分级：合格的
巨吻脂鲤,平钓【天空勺形鱼饵|36590】@0802-1600》！！！@拍水~22！！【饮乳鱼|36438】=【巨吻脂鲤|37848】；引诱；//预设分级：合格的
棕香蕉鳗鱼,平钓【蜉蝣|36591】@2202-0200（小雨|7）》~8+11！！！@拍水~13.5+25.5！！【拉札巴里克鱼|36443】=【棕香蕉鳗鱼|38833】；引诱；//预设分级：合格的
摩耶鳄,平钓【蜉蝣|36591】@0402-0800（晴朗|2）》10+18.5~！！@拍水【拉札巴里克鱼|36443】@专一【萨维奈鳄|36449】双提=5【萨维奈鳄|36449】；多提；@鱼识=》平钓@0402-0800（晴朗|2）》！！！@拍水~13+25.5！！【拉札巴里克鱼|36443】=【摩耶鳄|41403】；引诱；//预设分级：有效的
首领矛齿鲸,耐心【青花鱼块|36593】@（晴朗|2）》6.1+10.3~！《》！！！》！！！=【首领矛齿鲸|39881】；引诱、套娃、不撒饵；//预设分级：合格的
雾凇狗鱼,耐心【蜉蝣|36591】@（小雪|15）》8+15~！！@拍水【冰原狗鱼|36459】》！！！=【雾凇狗鱼|36683】；引诱、不撒饵；//预设分级：合格的
暗影帝冠,平钓【蜉蝣|36591】@0202-0800》！！！@拍水8+15~！！【蓝尾鲶|36462】=【暗影帝冠|37849】；引诱；//预设分级：合格的
仿制巨骨舌鱼,平钓【蜉蝣|36591】@0002-0200》！！！@拍水！！【复制巨骨舌鱼|36467】=【仿制巨骨舌鱼|37850】；引诱；//预设分级：合格的
荧光死亡蠕虫,耐心【奇美拉蠕虫|36595】@0202-0800（月尘|148）》！》！！！=【荧光死亡蠕虫|41404】；引诱、不撒饵；//预设分级：合格的
冰月壤龟,平钓【奇美拉蠕虫|36595】@1002-1300（灵风|49）》！！！@拍水~5.5+10！！【魇鱼|36468】=【冰月壤龟|38834】；引诱；//预设分级：合格的
噬炎者,平钓【奇美拉蠕虫|36595】@1202-2000（灵风|49）》！！！@拍水！！【吞星鱼|36488】=【噬炎者|39882】；引诱；//预设分级：合格的
佛恩·阿穆,平钓【奇美拉蠕虫|36595】@1002-1400（灵风|49）》！！！@拍水！！【吞星鱼|36488】=【佛恩·阿穆|36684】；引诱；//预设分级：合格的
宇宙雾霾,大鱼【奇美拉蠕虫|36595】@2002-0400（磁暴|149）》8.5+15~16.5+28！！@拍水【宇宙噪声|36491】》！！！=【宇宙雾霾|38835】；//预设分级：合格的
破军尾,平钓【蜉蝣|36591】@0202-0400》！！！@拍水！！【镜鱼|36499】=【破军尾|37851】；引诱；//预设分级：合格的
运行星,平钓【蜉蝣|36591】@1802-2200》！！！@拍水！！【镜鱼|36499】=【运行星|41405】；引诱；//预设分级：合格的
骇惊威,平钓【星尘|36597】@0802-1200》~15+27！！！@拍水！！【二十四足文明人|36510】=【骇惊威|36685】；引诱；//预设分级：合格的
阿耳戈雄英,平钓【星尘|36597】@0202-0400》！！！@拍水！！【三叉神海兽|36508】=【阿耳戈雄英|37852】；引诱；//预设分级：合格的
额外维度实体-852738,平钓【星尘|36597】@1202-1600（灵风|49）》！！！@拍水【不明飞行物II|36507】=【额外维度实体-852738|41406】；//预设分级：合格的
水中辉星,耐心【蜉蝣|36591】@（灵风|49）》5+7~9+17！@拍水【岛屿跳鱼|36476】》！！！=【水中辉星|37853】；引诱；//预设分级：合格的
金光皮颏鱵,平钓【天空勺形鱼饵|36590】@2002-2200》！！！精准@拍水！【岛屿跳鱼|36476】=【金光皮颏鱵|39883】；引诱；//预设分级：合格的
大丽花冠鮨,平钓【蜉蝣|36591】@0402-1000（碧空|1）》！！！精准@拍水！【岛屿跳鱼|36476】=【大丽花冠鮨|38836】；引诱；//预设分级：合格的
7.0,16//预设分级：非预设
财神蛙,平钓【红蛆|43858】@（薄雾|4）》！！！精准@拍水！【食蚊鱼|43664】=【财神蛙|44339】；//预设分级：有效的
抓月虾,平钓【白蠕虫|43854】@1202-1400》！！！精准@拍水~12！【海羊驼|43675】=【抓月虾|44340】；鱼影、不撒饵；//预设分级：有效的
锅盖蟹,平钓【红蛆|43858】@1602-2000（阴云|3、薄雾|4）》！！！@拍水！！【水没睡鱼|43690】=【锅盖蟹|44341】；引诱、不撒饵；//预设分级：有效的
星尘睡鱼,耐心【幽灵钳|43859】@2002-0000》~8+12！@拍水【乌托姆提卡|43745】》~9.5+15！+！！》！！！=【星尘睡鱼|44342】；套娃、不撒饵、重随；//预设分级：有效的
余痕丽鱼,平钓【红蛆|43858】@（碧空|1）》！！！@拍水！！【钓神基富丽鱼|43718】=【余痕丽鱼|44343】；引诱、不撒饵；//预设分级：有效的
像素鳅,平钓【红蛆|43858】@0002-0400》！！！@拍水！！【清洁方案|43778】=【像素鳅|44344】；引诱、不撒饵；//预设分级：有效的
灰达尤南丽鱼,平钓【红蛆|43858】@0402-0800（晴朗|2、碧空|1）》！！！@拍水！！【夏劳尼鲑鱼|43753】=【灰达尤南丽鱼|44345】；引诱；//预设分级：有效的
雷流鳟,平钓【红蛆|43858】@0902-1100》！！！@拍水！！【黑莓鲈|43769】=【雷流鳟|44346】；鱼影、不撒饵；//预设分级：有效的
屋底镰鳍鲳鲹,平钓【幽灵钳|43859】@0502-0700》！！！@拍水！！【镰鳍鲳鲹|43671】=【屋底镰鳍鲳鲹|47988】；引诱；//预设分级：有效的
麻瘩玛塔蛇颈龟,大鱼【红蛆|43858】@1202-1400（碧空|1）》！@拍水【克扎玛乌跳鱼|43689】》！！！=【麻瘩玛塔蛇颈龟|47989】；引诱；//预设分级：有效的
长河牙签鱼,平钓【红蛆|43858】@0002-0400（阴云|3）》！！！@拍水！！【牙签鱼|43695】=【长河牙签鱼|47990】；引诱；//预设分级：有效的
海心枯叶,平钓【红蛆|43858】@1002-1200》！！！@拍水！！【红豹帆鳍鱼|43719】=【海心枯叶|47991】；引诱；//预设分级：有效的
咬鹃杀手,平钓【红蛆|43858】@（阴云|3、薄雾|4）》！！！@拍水！！【镜鲤|43722】=【咬鹃杀手|47992】；引诱；//预设分级：有效的
得卡特,大鱼【红蛆|43858】@2002-0000（扬沙|11）》~20.5！！@拍水【旅迹鳟|43754】@专一【尼葵瑞皮鳟|43751】【尼葵瑞皮鳟|43751】》！！！=【得卡特|47993】；不撒饵、引诱；//预设分级：有效的
雷光鲽鱼,平钓【红蛆|43858】@（小雨|7）》！！！@拍水！！【亚斯拉尼弓鳍鱼|43773】=【雷光鲽鱼|47994】；引诱；//预设分级：有效的
滑稽女王,平钓【红蛆|43858】@1602-1800（晴朗|2）》！！！@拍水！！【滑稽鲶鱼|43783】=【滑稽女王|47995】；鱼影、不撒饵；//预设分级：有效的
深奥的代言人,平钓【红蛆|43858】@1202-1600（薄雾|4）》！！！@拍水！！【半饱鳟|43687】=【深奥的代言人|46189】；引诱、不撒饵；//预设分级：合格的
船路矛丽鱼,平钓【红蛆|43858】@0602-0800（小雨|7）》！！！@拍水！！【矛丽鱼|43700】=【船路矛丽鱼|46190】；鱼影、不撒饵；//预设分级：合格的
铁黑骨舌鱼,平钓【红蛆|43858】@1602-1800（小雨|7）》！！！@拍水！！【亚克特尔蝾螈|43726】=【铁黑骨舌鱼|46191】；引诱；//预设分级：合格的
王亲钝口螈,耐心【黄金幼虫|43849】@0002-0400（阴云|3）》~16.5！@拍水【白烬龙虾|43729】【云空鱼|43728】》！！！=【王亲钝口螈|46192】；引诱；//预设分级：合格的
苍天鱿鱼,平钓【蜻蜓|43857】@1802-2400（强风|6）》~25.5！！！精准@拍水！【佐戈之核|43757】=【苍天鱿鱼|46193】；引诱；//预设分级：合格的
南瓜芽太阳鱼,平钓【红蛆|43858】@2002-2400（雷雨|10）》！！！@拍水！！【瓜仁太阳鱼|43767】=【南瓜芽太阳鱼|46194】；引诱、不撒饵；//预设分级：合格的
巨蛇头鳢,平钓【红蛆|43858】@0358-0600（小雨|7）》！@专一【骑士虾虎|43781】=3【骑士虾虎|43781】；不撒饵、引诱；@鱼识=》平钓@0358-0600（小雨|7）》！！！@拍水！！【蛇头鳢|43785】=【巨蛇头鳢|46195】；引诱；//预设分级：合格的
凤尾鲯鲭,平钓【幽灵钳|43859】@0802-1200（晴朗|2）》！！！@拍水！！【蝴蝶鳐|43791、运河鼓|43790】=【凤尾鲯鲭|46196】；引诱；//预设分级：合格的
批量生成,747//预设分级：非预设
星里海带,平钓【沙蚕|2585】》！=【星里海带|4776】；引诱；//预设分级：批量生成
蝲蛄,平钓【蛾蛹|2586】》！=【蝲蛄|4925】；引诱；//预设分级：批量生成
鲢鱼,平钓【蛾蛹|2586】》！=【鲢鱼|4926】；引诱；//预设分级：批量生成
梅尔托尔虾虎,平钓【沙蚕|2585】》！=【梅尔托尔虾虎|4869】；引诱；//预设分级：批量生成
罗敏萨鳀鱼,平钓【沙蚕|2585】》！=【罗敏萨鳀鱼|4870】；引诱；//预设分级：批量生成
斑纹虾虎,平钓【蛾蛹|2586】》！=【斑纹虾虎|4927】；引诱；//预设分级：批量生成
小鲶鱼,平钓【蛾蛹|2586】》！=【小鲶鱼|4928】；引诱；//预设分级：批量生成
手指虾,平钓【沙蚕|2585】》！=【手指虾|4871】；引诱；//预设分级：批量生成
骨蝲蛄,平钓【蛾蛹|2586】》！=【骨蝲蛄|4929】；引诱；//预设分级：批量生成
白珊瑚,平钓【潮虫|2587】》！=【白珊瑚|5460】；引诱；//预设分级：批量生成
公主鳟,平钓【蝲蛄丸子|2588】》！=【公主鳟|4930】；引诱；//预设分级：批量生成
海云水母,平钓【潮虫|2587】》！=【海云水母|4872】；引诱；//预设分级：批量生成
幽暗虾虎,平钓【蝲蛄丸子|2588】》！=【幽暗虾虎|4931】；引诱；//预设分级：批量生成
藤皮海参,平钓【虾虎丸子|2589】》！=【藤皮海参|4873】；引诱；//预设分级：批量生成
